Index,Time,(GimbalYaw_Control).present_mode,(GimbalYaw_Control).last_mode,(GimbalYaw_Control).yaw_ref,(GimbalYaw_Control).yaw_position_fdb
0,0.000000,1,1,0.0104719754,0.00674198009
1,0.001090,1,1,0.0104719754,0.00674198009
2,0.002086,1,1,0.0104719754,0.00674198009
3,0.003087,1,1,0.0104719754,0.00675770966
4,0.004091,1,1,0.0104719754,0.00675770966
5,0.005109,1,1,0.0104719754,0.00675770966
6,0.006100,1,1,0.0104719754,0.00675770966
7,0.007091,1,1,0.0104719754,0.00676780147
8,0.008086,1,1,0.0104719754,0.00676780147
9,0.009085,1,1,0.0104719754,0.00676780147
10,0.010089,1,1,0.0104719754,0.00677991705
11,0.011087,1,1,0.0104719754,0.00677991705
12,0.012091,1,1,0.0104719754,0.00677991705
13,0.013089,1,1,0.0104719754,0.00677991705
14,0.014085,1,1,0.0104719754,0.00677991705
15,0.015085,1,1,0.0104719754,0.00679851184
16,0.016112,1,1,0.0104719754,0.00679851184
17,0.017104,1,1,0.0104719754,0.00679851184
18,0.018086,1,1,0.0104719754,0.00679851184
19,0.019089,1,1,0.0104719754,0.00682080537
20,0.020087,1,1,0.0104719754,0.00682080537
21,0.021089,1,1,0.0104719754,0.00682080537
22,0.022087,1,1,0.0104719754,0.00683939271
23,0.023090,1,1,0.0104719754,0.00683939271
24,0.024088,1,1,0.0104719754,0.00683939271
25,0.025085,1,1,0.0104719754,0.00683939271
26,0.026091,1,1,0.0104719754,0.00683939271
27,0.027086,1,1,0.0104719754,0.00684844144
28,0.028192,1,1,0.0104719754,0.00684844144
29,0.029090,1,1,0.0104719754,0.00684844144
30,0.030091,1,1,0.0104719754,0.00684844144
31,0.031086,1,1,0.0104719754,0.00686721597
32,0.032092,1,1,0.0104719754,0.00686721597
33,0.033087,1,1,0.0104719754,0.00686721597
34,0.034092,1,1,0.0104719754,0.0068720663
35,0.035090,1,1,0.0104719754,0.0068720663
36,0.036088,1,1,0.0104719754,0.0068720663
37,0.037091,1,1,0.0104719754,0.0068720663
38,0.038089,1,1,0.0104719754,0.0068720663
39,0.039103,1,1,0.0104719754,0.00687692082
40,0.040085,1,1,0.0104719754,0.00687692082
41,0.041088,1,1,0.0104719754,0.00687692082
42,0.042086,1,1,0.0104719754,0.00687692082
43,0.043089,1,1,0.0104719754,0.00688284356
44,0.044087,1,1,0.0104719754,0.00688284356
45,0.045107,1,1,0.0104719754,0.00688284356
46,0.046088,1,1,0.0104719754,0.00692413328
47,0.047091,1,1,0.0104719754,0.00692413328
48,0.048089,1,1,0.0104719754,0.00692413328
49,0.049103,1,1,0.0104719754,0.00692413328
50,0.050086,1,1,0.0104719754,0.00692413328
51,0.051090,1,1,0.0104719754,0.00692581199
52,0.052088,1,1,0.0104719754,0.00692581199
53,0.053092,1,1,0.0104719754,0.00692581199
54,0.054091,1,1,0.0104719754,0.00692581199
55,0.055089,1,1,0.0104719754,0.0069402568
56,0.056088,1,1,0.0104719754,0.0069402568
57,0.057091,1,1,0.0104719754,0.0069402568
58,0.058090,1,1,0.0104719754,0.00695379963
59,0.059085,1,1,0.0104719754,0.00695379963
60,0.060103,1,1,0.0104719754,0.00695379963
61,0.061086,1,1,0.0104719754,0.00695379963
62,0.062090,1,1,0.0104719754,0.00695379963
63,0.063088,1,1,0.0104719754,0.00698409136
64,0.064092,1,1,0.0104719754,0.00698409136
65,0.065086,1,1,0.0104719754,0.00698409136
66,0.066090,1,1,0.0104719754,0.00698409136
67,0.067088,1,1,0.0104719754,0.00699643884
68,0.068092,1,1,0.0104719754,0.00699643884
69,0.069090,1,1,0.0104719754,0.00699643884
70,0.070102,1,1,0.0104719754,0.00703966431
71,0.071085,1,1,0.0104719754,0.00703966431
72,0.072089,1,1,0.0104719754,0.00703966431
73,0.073088,1,1,0.0104719754,0.00703966431
74,0.074091,1,1,0.0104719754,0.00703966431
75,0.075085,1,1,0.0104719754,0.00706682866
76,0.076089,1,1,0.0104719754,0.00706682866
77,0.077087,1,1,0.0104719754,0.00706682866
78,0.078091,1,1,0.0104719754,0.00706682866
79,0.079089,1,1,0.0104719754,0.00705989776
80,0.080146,1,1,0.0104719754,0.00705989776
81,0.081087,1,1,0.0104719754,0.00705989776
82,0.082090,1,1,0.0104719754,0.00708905794
83,0.083088,1,1,0.0104719754,0.00708905794
84,0.084091,1,1,0.0104719754,0.00708905794
85,0.085092,1,1,0.0104719754,0.00708905794
86,0.086087,1,1,0.0104719754,0.00708905794
87,0.087092,1,1,0.0104719754,0.00707460847
88,0.088087,1,1,0.0104719754,0.00707460847
89,0.089085,1,1,0.0104719754,0.00707460847
90,0.090088,1,1,0.0104719754,0.00707460847
91,0.091107,1,1,0.0104719754,0.00707718544
92,0.092088,1,1,0.0104719754,0.00707718544
93,0.093091,1,1,0.0104719754,0.00707718544
94,0.094089,1,1,0.0104719754,0.00709160697
95,0.095087,1,1,0.0104719754,0.00709160697
96,0.096085,1,1,0.0104719754,0.00709160697
97,0.097105,1,1,0.0104719754,0.00709160697
98,0.098087,1,1,0.0104719754,0.00709160697
99,0.099090,1,1,0.0104719754,0.00712252129
100,0.100088,1,1,0.0104719754,0.00712252129
101,0.101091,1,1,0.0104719754,0.00712252129
102,0.102161,1,1,0.0104719754,0.00712252129
103,0.103090,1,1,0.0104719754,0.00710266177
104,0.104092,1,1,0.0104719754,0.00710266177
105,0.105089,1,1,0.0104719754,0.00710266177
106,0.106087,1,1,0.0104719754,0.00713106804
107,0.107090,1,1,0.0104719754,0.00713106804
108,0.108088,1,1,0.0104719754,0.00713106804
109,0.109090,1,1,0.0104719754,0.00713106804
110,0.110088,1,1,0.0104719754,0.00713106804
111,0.111091,1,1,0.0104719754,0.00713375676
112,0.112089,1,1,0.0104719754,0.00713375676
113,0.113204,1,1,0.0104719754,0.00713375676
114,0.114086,1,1,0.0104719754,0.00713375676
115,0.115088,1,1,0.0104719754,0.00713102333
116,0.116092,1,1,0.0104719754,0.00713102333
117,0.117090,1,1,0.0104719754,0.00713102333
118,0.118086,1,1,0.0104719754,0.00717458175
119,0.119236,1,1,0.0104719754,0.00717458175
120,0.120087,1,1,0.0104719754,0.00717458175
121,0.121092,1,1,0.0104719754,0.00717458175
122,0.122087,1,1,0.0104719754,0.00717458175
123,0.123086,1,1,0.0104719754,0.00719635561
124,0.124101,1,1,0.0104719754,0.00719635561
125,0.125088,1,1,0.0104719754,0.00719635561
126,0.126091,1,1,0.0104719754,0.00719635561
127,0.127090,1,1,0.0104719754,0.00721287541
128,0.128086,1,1,0.0104719754,0.00721287541
129,0.129092,1,1,0.0104719754,0.00721287541
130,0.130088,1,1,0.0104719754,0.00723360991
131,0.131086,1,1,0.0104719754,0.00723360991
132,0.132090,1,1,0.0104719754,0.00723360991
133,0.133089,1,1,0.0104719754,0.00723360991
134,0.134102,1,1,0.0104719754,0.00723360991
135,0.135088,1,1,0.0104719754,0.00723360991
136,0.136092,1,1,0.0104719754,0.00724604074
137,0.137090,1,1,0.0104719754,0.00724604074
138,0.138086,1,1,0.0104719754,0.00724604074
139,0.139085,1,1,0.0104719754,0.00725517748
140,0.140088,1,1,0.0104719754,0.00725517748
141,0.141087,1,1,0.0104719754,0.00725517748
142,0.142090,1,1,0.0104719754,0.0072674565
143,0.143089,1,1,0.0104719754,0.0072674565
144,0.144101,1,1,0.0104719754,0.0072674565
145,0.145087,1,1,0.0104719754,0.0072674565
146,0.146090,1,1,0.0104719754,0.0072674565
147,0.147087,1,1,0.0104719754,0.0073163826
