Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref
0,0.000000,1,-5159,-1645,1100.72925
1,0.001091,1,-5159,-1645,1100.72925
2,0.002093,1,-5159,-1645,1100.72925
3,0.003090,1,-5159,-1645,1100.72925
4,0.004104,1,-5159,-1645,1100.72925
5,0.005087,1,-5159,-1645,1100.72925
6,0.006093,1,-5159,-1645,1100.72925
7,0.007086,1,-5159,-1645,1100.72925
8,0.008091,1,-5159,-1645,1100.72925
9,0.009092,1,-5159,-1645,1100.72925
10,0.010092,1,-5159,-1645,1100.72925
11,0.011085,1,-5159,-1645,1100.72925
12,0.012090,1,-5159,-1645,1100.72925
13,0.013092,1,-5159,-1645,1100.72925
14,0.014087,1,-5159,-1645,1100.72925
15,0.015105,1,-5159,-1645,1100.72925
16,0.016087,1,-5159,-1645,1100.72925
17,0.017092,1,-5159,-1645,1100.72925
18,0.018085,1,-5159,-1645,1100.72925
19,0.019090,1,-5159,-1645,1100.72925
20,0.020085,1,-5159,-1645,1100.72925
21,0.021105,1,-5159,-1645,1100.72925
22,0.022088,1,-5159,-1645,1100.72925
23,0.023092,1,-5159,-1645,1100.72925
24,0.024093,1,-5159,-1645,1100.72925
25,0.025089,1,-5159,-1645,1100.72925
26,0.026103,0,-5165,-1644,1100.72925
27,0.027086,0,-5165,-1644,1100.72925
28,0.028091,0,-5165,-1644,1100.72925
29,0.029092,0,-5165,-1644,1100.72925
30,0.030091,0,-5165,-1644,1100.72925
31,0.031092,0,-5165,-1644,1100.72925
32,0.032087,0,-5165,-1644,1100.72925
33,0.033088,0,-5165,-1644,1100.72925
34,0.034085,0,-5165,-1644,1100.72925
35,0.035086,0,-5165,-1644,1100.72925
36,0.036090,0,-5165,-1644,1100.72925
37,0.037171,0,-5165,-1644,1100.72925
38,0.038104,0,-5165,-1644,1100.72925
39,0.039087,0,-5165,-1644,1100.72925
40,0.040086,0,-5165,-1644,1100.72925
41,0.041087,0,-5165,-1644,1100.72925
42,0.042092,0,-5165,-1644,1100.72925
43,0.043093,0,-5165,-1644,1100.72925
44,0.044089,0,-5165,-1644,1100.72925
45,0.045090,0,-5165,-1644,1100.72925
46,0.046086,0,-5165,-1644,1100.72925
47,0.047087,0,-5165,-1644,1100.72925
48,0.048092,0,-5165,-1644,1100.72925
49,0.049130,0,-5165,-1644,1100.72925
50,0.050090,0,-5165,-1644,1100.72925
51,0.051086,0,-5165,-1644,1100.72925
