Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref,((Shoot_Control).feed_ang).fdb
0,0.000000,0,-6024,-1384,1505.72925,1505.77881
1,0.000993,0,-6024,-1384,1505.72925,1505.77881
2,0.001982,0,-6024,-1384,1505.72925,1505.77881
3,0.002993,0,-6024,-1384,1505.72925,1505.77881
4,0.003986,0,-6024,-1384,1505.72925,1505.77881
5,0.004999,0,-6024,-1384,1505.72925,1505.77881
6,0.005993,0,-6024,-1384,1505.72925,1505.77881
7,0.006982,0,-6024,-1384,1505.72925,1505.78003
8,0.007994,0,-6024,-1384,1505.72925,1505.78003
9,0.008983,0,-6024,-1384,1505.72925,1505.78003
10,0.009995,0,-6024,-1384,1505.72925,1505.78003
11,0.011020,0,-6024,-1384,1505.72925,1505.78003
12,0.011983,0,-6024,-1384,1505.72925,1505.78003
13,0.012995,0,-6024,-1384,1505.72925,1505.78003
14,0.013988,0,-6024,-1384,1505.72925,1505.78003
15,0.014999,0,-6024,-1384,1505.72925,1505.78003
16,0.015980,0,-6024,-1384,1505.72925,1505.78003
17,0.016991,0,-6024,-1384,1505.72925,1505.78003
18,0.017981,0,-6024,-1384,1505.72925,1505.78003
19,0.018993,0,-6024,-1384,1505.72925,1505.78003
20,0.019982,0,-6024,-1384,1505.72925,1505.77881
21,0.020994,0,-6024,-1384,1505.72925,1505.77881
22,0.022063,0,-6024,-1384,1505.72925,1505.77881
23,0.022895,0,-6024,-1384,1505.72925,1505.77881
24,0.023997,0,-6024,-1384,1505.72925,1505.77881
25,0.024987,0,-6024,-1384,1505.72925,1505.77881
26,0.025999,0,-6024,-1384,1505.72925,1505.77881
27,0.026979,0,-6024,-1384,1505.72925,1505.77881
28,0.028000,0,-6024,-1384,1505.72925,1505.77881
29,0.028980,0,-6024,-1384,1505.72925,1505.77881
30,0.029992,0,-6024,-1384,1505.72925,1505.77881
31,0.030981,0,-6024,-1384,1505.72925,1505.77881
32,0.031993,0,-6024,-1384,1505.72925,1505.77881
33,0.032982,0,-6024,-1384,1505.72925,1505.77881
34,0.034022,0,-6024,-1384,1505.72925,1505.77881
35,0.034983,0,-6024,-1384,1505.72925,1505.77881
36,0.035994,0,-6024,-1384,1505.72925,1505.77759
37,0.036983,0,-6024,-1384,1505.72925,1505.77759
38,0.037993,0,-6024,-1384,1505.72925,1505.77759
39,0.038982,0,-6024,-1384,1505.72925,1505.77881
40,0.039993,0,-6024,-1384,1505.72925,1505.77881
41,0.040981,0,-6024,-1384,1505.72925,1505.77881
42,0.041993,0,-6024,-1384,1505.72925,1505.77881
43,0.042982,0,-6024,-1384,1505.72925,1505.77881
44,0.043996,0,-6024,-1384,1505.72925,1505.77881
45,0.044984,0,-6024,-1384,1505.72925,1505.77881
46,0.046001,0,-6024,-1384,1505.72925,1505.77881
47,0.046994,0,-6024,-1384,1505.72925,1505.77881
48,0.047983,0,-6024,-1384,1505.72925,1505.77881
49,0.048993,0,-6024,-1384,1505.72925,1505.77881
50,0.049983,0,-6024,-1384,1505.72925,1505.77881
51,0.050996,0,-6024,-1384,1505.72925,1505.77881
52,0.051998,0,-6024,-1384,1505.72925,1505.77881
53,0.052987,0,-6024,-1384,1505.72925,1505.77881
54,0.054000,0,-6024,-1384,1505.72925,1505.77881
55,0.054980,0,-6024,-1384,1505.72925,1505.77881
56,0.055991,0,-6024,-1384,1505.72925,1505.78003
57,0.057000,0,-6024,-1384,1505.72925,1505.78003
58,0.057994,0,-6024,-1384,1505.72925,1505.78003
59,0.058982,0,-6024,-1384,1505.72925,1505.78003
60,0.059993,0,-6024,-1384,1505.72925,1505.78003
61,0.060982,0,-6024,-1384,1505.72925,1505.78003
62,0.061993,0,-6024,-1384,1505.72925,1505.78003
63,0.062982,0,-6024,-1384,1505.72925,1505.78003
64,0.063996,0,-6024,-1384,1505.72925,1505.78003
65,0.064984,0,-6024,-1384,1505.72925,1505.78003
66,0.065996,0,-6024,-1384,1505.72925,1505.78003
67,0.066985,0,-6024,-1384,1505.72925,1505.78003
68,0.067995,0,-6024,-1384,1505.72925,1505.78003
69,0.068998,0,-6024,-1384,1505.72925,1505.78003
70,0.069986,0,-6024,-1384,1505.72925,1505.78003
71,0.070998,0,-6024,-1384,1505.72925,1505.78003
72,0.071978,0,-6024,-1384,1505.72925,1505.77881
73,0.072999,0,-6024,-1384,1505.72925,1505.77881
74,0.073983,0,-6024,-1384,1505.72925,1505.77881
75,0.074995,0,-6024,-1384,1505.72925,1505.77881
76,0.075984,0,-6024,-1384,1505.72925,1505.77881
77,0.076995,0,-6024,-1384,1505.72925,1505.77881
78,0.077985,0,-6024,-1384,1505.72925,1505.77881
79,0.078996,0,-6024,-1384,1505.72925,1505.77881
80,0.079999,0,-6024,-1384,1505.72925,1505.77881
81,0.080993,0,-6024,-1384,1505.72925,1505.77881
82,0.081983,0,-6024,-1384,1505.72925,1505.77881
83,0.082994,0,-6024,-1384,1505.72925,1505.77881
84,0.083987,0,-6024,-1384,1505.72925,1505.77881
85,0.084999,0,-6024,-1384,1505.72925,1505.77881
86,0.085979,0,-6024,-1384,1505.72925,1505.77881
87,0.087000,0,-6024,-1384,1505.72925,1505.77881
88,0.087980,0,-6024,-1384,1505.72925,1505.77881
89,0.088992,0,-6024,-1384,1505.72925,1505.77881
90,0.089982,0,-6024,-1384,1505.72925,1505.77881
91,0.090993,0,-6024,-1384,1505.72925,1505.77881
92,0.091994,0,-6024,-1384,1505.72925,1505.77881
93,0.092997,0,-6024,-1384,1505.72925,1505.77881
94,0.093990,0,-6024,-1384,1505.72925,1505.77881
95,0.094992,0,-6024,-1384,1505.72925,1505.77881
96,0.095982,0,-6024,-1384,1505.72925,1505.77881
97,0.096993,0,-6024,-1384,1505.72925,1505.77881
98,0.097983,0,-6024,-1384,1505.72925,1505.77881
99,0.098994,0,-6024,-1384,1505.72925,1505.77881
100,0.099980,0,-6024,-1384,1505.72925,1505.77759
101,0.100992,0,-6024,-1384,1505.72925,1505.77881
102,0.102004,0,-6024,-1384,1505.72925,1505.77881
103,0.102998,0,-6024,-1384,1505.72925,1505.77881
104,0.103995,0,-6024,-1384,1505.72925,1505.77881
105,0.104983,0,-6024,-1384,1505.72925,1505.77881
106,0.106019,0,-6024,-1384,1505.72925,1505.77881
107,0.106998,0,-6024,-1384,1505.72925,1505.77881
108,0.107992,0,-6024,-1384,1505.72925,1505.77881
109,0.108980,0,-6024,-1384,1505.72925,1505.77881
110,0.110000,0,-6024,-1384,1505.72925,1505.77881
111,0.110980,0,-6024,-1384,1505.72925,1505.77759
112,0.112000,0,-6024,-1384,1505.72925,1505.77881
113,0.112980,0,-6024,-1384,1505.72925,1505.77881
114,0.114002,0,-6024,-1384,1505.72925,1505.77881
115,0.114995,0,-6024,-1384,1505.72925,1505.77881
116,0.115999,0,-6024,-1384,1505.72925,1505.77881
117,0.116992,0,-6024,-1384,1505.72925,1505.77881
118,0.117981,0,-6024,-1384,1505.72925,1505.77881
119,0.118992,0,-6024,-1384,1505.72925,1505.77881
120,0.119981,0,-6024,-1384,1505.72925,1505.77881
121,0.120991,0,-6024,-1384,1505.72925,1505.77881
122,0.121981,0,-6024,-1384,1505.72925,1505.77881
123,0.122992,0,-6024,-1384,1505.72925,1505.77881
124,0.123984,0,-6024,-1384,1505.72925,1505.77881
125,0.124995,0,-6024,-1384,1505.72925,1505.77881
126,0.125995,0,-6024,-1384,1505.72925,1505.77881
127,0.126997,0,-6024,-1384,1505.72925,1505.77881
128,0.127986,0,-6024,-1384,1505.72925,1505.77881
129,0.128997,0,-6024,-1384,1505.72925,1505.77881
130,0.129986,0,-6024,-1384,1505.72925,1505.77881
131,0.130997,0,-6024,-1384,1505.72925,1505.77881
132,0.131985,0,-6024,-1384,1505.72925,1505.77881
133,0.132997,0,-6024,-1384,1505.72925,1505.77881
134,0.133989,0,-6024,-1384,1505.72925,1505.77881
135,0.135000,0,-6024,-1384,1505.72925,1505.77881
136,0.135980,0,-6024,-1384,1505.72925,1505.77881
137,0.137000,0,-6024,-1384,1505.72925,1505.77881
138,0.138002,0,-6024,-1384,1505.72925,1505.77881
139,0.138996,0,-6024,-1384,1505.72925,1505.77881
140,0.139986,0,-6024,-1384,1505.72925,1505.77881
141,0.140997,0,-6024,-1384,1505.72925,1505.77881
142,0.141987,0,-6024,-1384,1505.72925,1505.77881
143,0.142998,0,-6024,-1384,1505.72925,1505.77881
144,0.143982,0,-6024,-1384,1505.72925,1505.77881
145,0.144994,0,-6024,-1384,1505.72925,1505.77881
146,0.145984,0,-6024,-1384,1505.72925,1505.77881
147,0.146995,0,-6024,-1384,1505.72925,1505.77881
148,0.147985,0,-6024,-1384,1505.72925,1505.77881
149,0.148993,0,-6024,-1384,1505.72925,1505.77881
150,0.149996,0,-6024,-1384,1505.72925,1505.77881
151,0.150986,0,-6024,-1384,1505.72925,1505.77881
152,0.151997,0,-6024,-1384,1505.72925,1505.77881
153,0.152987,0,-6024,-1384,1505.72925,1505.77881
154,0.154002,0,-6024,-1384,1505.72925,1505.77881
155,0.154982,0,-6024,-1384,1505.72925,1505.77881
156,0.155994,0,-6024,-1384,1505.72925,1505.77881
157,0.156983,0,-6024,-1384,1505.72925,1505.77881
158,0.157994,0,-6024,-1384,1505.72925,1505.77881
159,0.158984,0,-6024,-1384,1505.72925,1505.77881
160,0.159995,0,-6024,-1384,1505.72925,1505.77881
161,0.160994,0,-6024,-1384,1505.72925,1505.77881
162,0.162001,0,-6024,-1384,1505.72925,1505.77881
163,0.162994,0,-6024,-1384,1505.72925,1505.77881
164,0.163987,0,-6024,-1384,1505.72925,1505.77881
165,0.164999,0,-6024,-1384,1505.72925,1505.77881
166,0.165979,0,-6024,-1384,1505.72925,1505.77881
167,0.166999,0,-6024,-1384,1505.72925,1505.77881
168,0.167979,0,-6024,-1384,1505.72925,1505.77881
169,0.168998,0,-6024,-1384,1505.72925,1505.77881
170,0.169987,0,-6024,-1384,1505.72925,1505.77881
171,0.170998,0,-6024,-1384,1505.72925,1505.77881
172,0.171987,0,-6024,-1384,1505.72925,1505.77881
173,0.173025,0,-6024,-1384,1505.72925,1505.77881
174,0.173991,0,-6024,-1384,1505.72925,1505.77881
175,0.174992,0,-6024,-1384,1505.72925,1505.77881
176,0.175981,0,-6024,-1384,1505.72925,1505.77881
177,0.176992,0,-6024,-1384,1505.72925,1505.77881
178,0.177981,0,-6024,-1384,1505.72925,1505.77881
179,0.178992,0,-6024,-1384,1505.72925,1505.77881
180,0.179981,0,-6024,-1384,1505.72925,1505.77881
181,0.180992,0,-6024,-1384,1505.72925,1505.77881
182,0.181981,0,-6024,-1384,1505.72925,1505.77881
183,0.182992,0,-6024,-1384,1505.72925,1505.77881
184,0.183984,0,-6024,-1384,1505.72925,1505.77881
185,0.184998,0,-6024,-1384,1505.72925,1505.77881
186,0.185992,0,-6024,-1384,1505.72925,1505.77881
187,0.186981,0,-6024,-1384,1505.72925,1505.77881
188,0.187992,0,-6024,-1384,1505.72925,1505.77881
189,0.188981,0,-6024,-1384,1505.72925,1505.77881
190,0.189992,0,-6024,-1384,1505.72925,1505.77881
191,0.190980,0,-6024,-1384,1505.72925,1505.77881
192,0.191991,0,-6024,-1384,1505.72925,1505.77881
193,0.192980,0,-6024,-1384,1505.72925,1505.77881
194,0.194003,0,-6024,-1384,1505.72925,1505.77881
195,0.194983,0,-6024,-1384,1505.72925,1505.77881
196,0.195994,0,-6024,-1384,1505.72925,1505.77881
197,0.196999,0,-6024,-1384,1505.72925,1505.77759
198,0.197993,0,-6024,-1384,1505.72925,1505.77759
199,0.198981,0,-6024,-1384,1505.72925,1505.77759
200,0.199992,0,-6024,-1384,1505.72925,1505.77759
201,0.200981,0,-6024,-1384,1505.72925,1505.77759
202,0.201993,0,-6024,-1384,1505.72925,1505.77881
203,0.202982,0,-6024,-1384,1505.72925,1505.77881
204,0.203997,0,-6024,-1384,1505.72925,1505.77881
205,0.204986,0,-6024,-1384,1505.72925,1505.77881
206,0.205998,0,-6024,-1384,1505.72925,1505.77881
207,0.206987,0,-6024,-1384,1505.72925,1505.77881
208,0.208001,0,-6024,-1384,1505.72925,1505.77881
209,0.208994,0,-6024,-1384,1505.72925,1505.77881
210,0.209984,0,-6024,-1384,1505.72925,1505.77881
211,0.210996,0,-6024,-1384,1505.72925,1505.77881
212,0.211986,0,-6024,-1384,1505.72925,1505.77881
213,0.212997,0,-6024,-1384,1505.72925,1505.77881
214,0.213990,0,-6024,-1384,1505.72925,1505.77881
215,0.214998,0,-6024,-1384,1505.72925,1505.77881
216,0.215992,0,-6024,-1384,1505.72925,1505.77881
217,0.216981,0,-6024,-1384,1505.72925,1505.77881
218,0.217993,0,-6024,-1384,1505.72925,1505.77881
219,0.219017,0,-6024,-1384,1505.72925,1505.77881
220,0.219982,0,-6024,-1384,1505.72925,1505.77881
221,0.220993,0,-6024,-1384,1505.72925,1505.77881
222,0.221983,0,-6024,-1384,1505.72925,1505.77881
223,0.222994,0,-6024,-1384,1505.72925,1505.77881
224,0.224061,0,-6024,-1384,1505.72925,1505.77881
225,0.224892,0,-6024,-1384,1505.72925,1505.77881
226,0.226001,0,-6024,-1384,1505.72925,1505.77881
227,0.226982,0,-6024,-1384,1505.72925,1505.77881
228,0.227993,0,-6024,-1384,1505.72925,1505.77881
229,0.228982,0,-6024,-1384,1505.72925,1505.77881
230,0.229994,0,-6024,-1384,1505.72925,1505.77881
231,0.231020,0,-6024,-1384,1505.72925,1505.77881
232,0.231996,0,-6024,-1384,1505.72925,1505.77881
233,0.232984,0,-6024,-1384,1505.72925,1505.77881
234,0.233998,0,-6024,-1384,1505.72925,1505.77881
235,0.234986,0,-6024,-1384,1505.72925,1505.77881
236,0.235997,0,-6024,-1384,1505.72925,1505.77881
237,0.236986,0,-6024,-1384,1505.72925,1505.77881
238,0.237997,0,-6024,-1384,1505.72925,1505.77881
239,0.238986,0,-6024,-1384,1505.72925,1505.77881
240,0.239997,0,-6024,-1384,1505.72925,1505.77881
241,0.240985,0,-6024,-1384,1505.72925,1505.77881
242,0.241999,0,-6024,-1384,1505.72925,1505.77881
243,0.242993,0,-6024,-1384,1505.72925,1505.77881
244,0.243985,0,-6024,-1384,1505.72925,1505.77881
245,0.244996,0,-6024,-1384,1505.72925,1505.77881
246,0.245985,0,-6024,-1384,1505.72925,1505.77881
247,0.246995,0,-6024,-1384,1505.72925,1505.77881
248,0.247984,0,-6024,-1384,1505.72925,1505.77881
249,0.248995,0,-6024,-1384,1505.72925,1505.77881
250,0.249985,0,-6024,-1384,1505.72925,1505.77881
251,0.250995,0,-6024,-1384,1505.72925,1505.77881
252,0.251984,0,-6024,-1384,1505.72925,1505.77881
253,0.253007,0,-6024,-1384,1505.72925,1505.77881
254,0.253998,0,-6024,-1384,1505.72925,1505.77881
255,0.255000,0,-6024,-1384,1505.72925,1505.77881
256,0.255980,0,-6024,-1384,1505.72925,1505.77881
257,0.257000,0,-6024,-1384,1505.72925,1505.77881
258,0.257981,0,-6024,-1384,1505.72925,1505.77881
259,0.258991,0,-6024,-1384,1505.72925,1505.77881
260,0.259980,0,-6024,-1384,1505.72925,1505.77881
261,0.261000,0,-6024,-1384,1505.72925,1505.77881
262,0.261980,0,-6024,-1384,1505.72925,1505.77881
263,0.263000,0,-6024,-1384,1505.72925,1505.77881
264,0.263983,0,-6024,-1384,1505.72925,1505.77881
265,0.265005,0,-6024,-1384,1505.72925,1505.77881
266,0.266002,0,-6024,-1384,1505.72925,1505.77881
267,0.267064,0,-6024,-1384,1505.72925,1505.77881
268,0.267895,0,-6024,-1384,1505.72925,1505.78003
269,0.268994,0,-6024,-1384,1505.72925,1505.78003
270,0.269983,0,-6024,-1384,1505.72925,1505.78003
271,0.270995,0,-6024,-1384,1505.72925,1505.78003
272,0.271984,0,-6024,-1384,1505.72925,1505.78003
273,0.272996,0,-6024,-1384,1505.72925,1505.78003
274,0.273989,0,-6024,-1384,1505.72925,1505.78003
