Index,Time,((Shoot_Control).feed_ang).ref,((Shoot_Control).feed_ang).fdb,(AutoAim_Control).buff_pitch
0,0.000000,0,0,0
1,0.001092,0,0,0
2,0.002088,0,0,0
3,0.003090,0,0,0
4,0.004085,0,0,0
5,0.005092,0,0,0
6,0.006088,0,0,0
7,0.007087,0,0,0
8,0.008085,0,0,0
9,0.009092,0,0,0
10,0.010088,0,0,0
11,0.011087,0,0,0
12,0.012124,0,0,0
13,0.013106,0,0,0
14,0.014090,0,0,0
15,0.015086,0,0,0
16,0.016085,0,0,0
17,0.017090,0,0,0
18,0.018085,0,0,0
19,0.019089,0,0,0
20,0.020089,0,0,0
21,0.021085,0,0,0
22,0.022104,0,0,0
23,0.023088,0,0,0
24,0.024085,0,0,0
25,0.025093,0,0,0
26,0.026089,0,0,0
27,0.027089,0,0,0
28,0.028088,0,0,0
29,0.029088,0,0,0
30,0.030092,0,0,0
31,0.031092,0,0,0
32,0.032101,0,0,0
33,0.033085,0,0,0
34,0.034090,0,0,0
35,0.035090,0,0,0
36,0.036086,0,0,0
37,0.037086,0,0,0
38,0.038085,0,0,0
39,0.039085,0,0,0
40,0.040089,0,0,0
41,0.041089,0,0,0
42,0.042103,0,0,0
43,0.043087,0,0,0
44,0.044091,0,0,0
45,0.045091,0,0,0
46,0.046086,0,0,0
47,0.047085,0,0,0
48,0.048091,0,0,0
49,0.049090,0,0,0
50,0.050085,0,0,0
51,0.051092,0,0,0
52,0.052088,0,0,0
53,0.053163,0,0,0
54,0.054087,0,0,0
55,0.055086,0,0,0
56,0.056090,0,0,0
57,0.057089,0,0,0
58,0.058088,0,0,0
59,0.059087,0,0,0
60,0.060090,0,0,0
61,0.061089,0,0,0
62,0.062085,0,0,0
63,0.063092,0,0,0
64,0.064103,0,0,0
65,0.065101,0,0,0
66,0.066092,0,0,0
67,0.067270,0,0,0
68,0.068089,0,0,0
69,0.069085,0,0,0
70,0.070092,0,0,0
71,0.071087,0,0,0
72,0.072086,0,0,0
73,0.073090,0,0,0
74,0.074089,0,0,0
75,0.075085,0,0,0
76,0.076195,0,0,0
77,0.077085,0,0,0
78,0.078088,0,0,0
