Index,Time,(Gimbal_Control).pitch_position_ref,(Gimbal_Control).present_mode,(Gimbal_Control).last_mode,(AutoAim_Control).armor_pitch,(MiniPC_Data).is_get_target,(AutoAim_Control).hit_mode
0,0.000000,-0.883000612,1,1,-0,0,0
1,0.001093,-0.896000624,1,1,-0,0,0
2,0.002105,-0.909000635,1,1,-0,0,0
3,0.003096,-0.922000647,1,1,-0,0,0
4,0.004108,-0.935000658,1,1,-0,0,0
5,0.005091,-0.948000669,1,1,-0,0,0
6,0.006102,-0.961000681,1,1,-0,0,0
7,0.007097,-0.974000692,1,1,-0,0,0
8,0.008108,-0.987000704,1,1,-0,0,0
9,0.009092,-1.00000072,1,1,-0,0,0
10,0.010103,-1.01300073,1,1,-0,0,0
11,0.011094,-1.02600074,1,1,-0,0,0
12,0.012106,-1.03900075,1,1,-0,0,0
13,0.013089,-1.05200076,1,1,-0,0,0
14,0.014108,-1.06500077,1,1,-0,0,0
15,0.015092,-1.07800078,1,1,-0,0,0
16,0.016103,-1.0910008,1,1,-0,0,0
17,0.017114,-1.10400081,1,1,-0,0,0
18,0.018102,-1.11700082,1,1,-0,0,0
19,0.019094,-1.13000083,1,1,-0,0,0
20,0.020105,-1.14300084,1,1,-0,0,0
21,0.021096,-1.15600085,1,1,-0,0,0
22,0.022108,-1.16900086,1,1,-0,0,0
23,0.023091,-1.18200088,1,1,-0,0,0
24,0.024102,-1.19500089,1,1,-0,0,0
25,0.025093,-1.2080009,1,1,-0,0,0
26,0.026105,-1.22100091,1,1,-0,0,0
27,0.027099,-1.23400092,1,1,-0,0,0
28,0.028165,-1.24700093,1,1,-0,0,0
29,0.029090,-1.26000094,1,1,-0,0,0
30,0.030109,-1.27200091,1,1,-0,0,0
31,0.031093,-1.28400087,1,1,-0,0,0
32,0.032104,-1.29600084,1,1,-0,0,0
33,0.033095,-1.3080008,1,1,-0,0,0
34,0.034107,-1.32000077,1,1,-0,0,0
35,0.035090,-1.33200073,1,1,-0,0,0
36,0.036109,-1.3440007,1,1,-0,0,0
37,0.037096,-1.35600066,1,1,-0,0,0
38,0.038107,-1.36800063,1,1,-0,0,0
39,0.039091,-1.38000059,1,1,-0,0,0
40,0.040128,-1.39200056,1,1,-0,0,0
41,0.041107,-1.40400052,1,1,-0,0,0
42,0.042103,-1.41600049,1,1,-0,0,0
43,0.043094,-1.42800045,1,1,-0,0,0
44,0.044106,-1.44000041,1,1,-0,0,0
45,0.045089,-1.45200038,1,1,-0,0,0
46,0.046108,-1.46400034,1,1,-0,0,0
47,0.047095,-1.47600031,1,1,-0,0,0
48,0.048107,-1.48800027,1,1,-0,0,0
49,0.049090,-1.50000024,1,1,-0,0,0
50,0.050109,-1.5120002,1,1,-0,0,0
51,0.051105,-1.52400017,1,1,-0,0,0
52,0.052109,-1.53600013,1,1,-0,0,0
53,0.053106,-1.5480001,1,1,-0,0,0
54,0.054089,-1.56000006,1,1,-0,0,0
55,0.055108,-1.57200003,1,1,-0,0,0
56,0.056092,-1.58399999,1,1,-0,0,0
57,0.057106,-1.59599996,1,1,-0,0,0
58,0.058089,-1.60799992,1,1,-0,0,0
59,0.059108,-1.61999989,1,1,-0,0,0
60,0.060091,-1.63199985,1,1,-0,0,0
61,0.061103,-1.64399981,1,1,-0,0,0
62,0.062094,-1.65599978,1,1,-0,0,0
63,0.063167,-1.66799974,1,1,-0,0,0
64,0.064089,-1.67999971,1,1,-0,0,0
65,0.065108,-1.69199967,1,1,-0,0,0
66,0.066092,-1.70399964,1,1,-0,0,0
67,0.067106,-1.7159996,1,1,-0,0,0
68,0.068089,-1.72799957,1,1,-0,0,0
69,0.069108,-1.73999953,1,1,-0,0,0
