Index,Time,((Motor_shooterMotorLeft).encoder).speed,((Shoot_Control).shoot_speed).referee_bullet_speed[0],((Shoot_Control).shoot_left).fdb,((Shoot_Control).shoot_right).fdb,((Motor_shooterMotorRight).encoder).speed,shoot_diff_tick
0,0.000000,0,29.6499996,0,0,0,47
1,0.001087,0,29.6499996,0,0,0,47
2,0.002086,0,29.6499996,0,0,0,47
3,0.003091,0,29.6499996,0,0,0,47
4,0.004090,0,29.6499996,0,0,0,47
5,0.005092,0,29.6499996,0,0,0,47
6,0.006091,0,29.6499996,0,0,0,47
7,0.007086,0,29.6499996,0,0,0,47
8,0.008085,0,29.6499996,0,0,0,47
9,0.009091,0,29.6499996,0,0,0,47
10,0.010090,0,29.6499996,0,0,0,47
11,0.011092,0,29.6499996,0,0,0,47
12,0.012138,0,29.6499996,0,0,0,47
13,0.013085,0,29.6499996,0,0,0,47
14,0.014092,0,29.6499996,0,0,0,47
15,0.015157,0,29.6499996,0,0,0,47
16,0.016093,0,29.6499996,0,0,0,47
17,0.017259,0,29.6499996,0,0,0,47
18,0.018086,0,29.6499996,0,0,0,47
19,0.019092,0,29.6499996,0,0,0,47
20,0.020090,0,29.6499996,0,0,0,47
21,0.021092,0,29.6499996,0,0,0,47
22,0.022090,0,29.6499996,0,0,0,47
23,0.023093,0,29.6499996,0,0,0,47
24,0.024104,0,29.6499996,0,0,0,47
25,0.025093,0,29.6499996,0,0,0,47
26,0.026087,0,29.6499996,0,0,0,47
27,0.027085,0,29.6499996,0,0,0,47
28,0.028087,0,29.6499996,0,0,0,47
29,0.029088,0,29.6499996,0,0,0,47
30,0.030088,0,29.6499996,0,0,0,47
31,0.031087,0,29.6499996,0,0,0,47
32,0.032088,0,29.6499996,0,0,0,47
33,0.033086,0,29.6499996,0,0,0,47
34,0.034088,0,29.6499996,0,0,0,47
35,0.035100,0,29.6499996,0,0,0,47
36,0.036089,0,29.6499996,0,0,0,47
37,0.037091,0,29.6499996,0,0,0,47
38,0.038089,0,29.6499996,0,0,0,47
39,0.039093,0,29.6499996,0,0,0,47
40,0.040091,0,29.6499996,0,0,0,47
41,0.041103,0,29.6499996,0,0,0,47
42,0.042092,0,29.6499996,0,0,0,47
43,0.043085,0,29.6499996,0,0,0,47
44,0.044092,0,29.6499996,0,0,0,47
45,0.045093,0,29.6499996,0,0,0,47
46,0.046127,0,29.6499996,0,0,0,47
47,0.047090,0,29.6499996,0,0,0,47
48,0.048088,0,29.6499996,0,0,0,47
49,0.049093,0,29.6499996,0,0,0,47
50,0.050091,0,29.6499996,0,0,0,47
51,0.051092,0,29.6499996,0,0,0,47
52,0.052090,0,29.6499996,0,0,0,47
53,0.053091,0,29.6499996,0,0,0,47
54,0.054089,0,29.6499996,0,0,0,47
55,0.055091,0,29.6499996,0,0,0,47
56,0.056089,0,29.6499996,0,0,0,47
57,0.057115,0,29.6499996,0,0,0,47
58,0.058105,0,29.6499996,0,0,0,47
59,0.059088,0,29.6499996,0,0,0,47
60,0.060090,0,29.6499996,0,0,0,47
61,0.061088,0,29.6499996,0,0,0,47
62,0.062089,0,29.6499996,0,0,0,47
63,0.063088,0,29.6499996,0,0,0,47
64,0.064090,0,29.6499996,0,0,0,47
65,0.065088,0,29.6499996,0,0,0,47
66,0.066090,0,29.6499996,0,0,0,47
67,0.067088,0,29.6499996,0,0,0,47
